#  Texas Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1992-2020
# Missing: -99
Date,Value,Anomaly
200203,55.4,-3.0
200204,69.1,3.7
200205,74.0,0.5
200206,80.6,0.1
200207,80.9,-2.1
200208,82.8,0.1
200209,76.0,-0.4
200210,64.9,-1.9
200211,53.0,-3.2
200212,47.8,-0.5
200301,46.2,-1.1
200302,48.3,-2.9
200303,57.2,-1.2
200304,66.6,1.2
200305,75.8,2.3
200306,78.5,-2.0
200307,82.1,-0.9
200308,82.9,0.2
200309,73.9,-2.5
200310,67.4,0.6
200311,58.0,1.8
200312,49.1,0.8
200401,48.9,1.6
200402,47.4,-3.8
200403,61.8,3.4
200404,64.3,-1.1
200405,73.7,0.2
200406,78.7,-1.8
200407,80.7,-2.3
200408,79.2,-3.5
200409,75.2,-1.2
200410,69.7,2.9
200411,55.7,-0.5
200412,47.6,-0.7
200501,50.7,3.4
200502,51.9,0.7
200503,56.5,-1.9
200504,64.3,-1.1
200505,71.8,-1.7
200506,80.5,0.0
200507,82.4,-0.6
200508,81.3,-1.4
200509,79.9,3.5
200510,66.4,-0.4
200511,58.7,2.5
200512,47.2,-1.1
200601,52.9,5.6
200602,50.2,-1.0
200603,61.1,2.7
200604,70.7,5.3
200605,75.7,2.2
200606,80.8,0.3
200607,83.4,0.4
200608,83.6,0.9
200609,74.1,-2.3
200610,66.8,0.0
200611,57.9,1.7
200612,48.2,-0.1
200701,42.5,-4.8
200702,49.4,-1.8
200703,61.9,3.5
200704,61.7,-3.7
200705,71.4,-2.1
200706,77.9,-2.6
200707,79.0,-4.0
200708,81.8,-0.9
200709,77.1,0.7
200710,68.6,1.8
200711,57.6,1.4
200712,49.2,0.9
200801,46.1,-1.2
200802,53.2,2.0
200803,58.4,0.0
200804,65.3,-0.1
200805,74.3,0.8
200806,82.9,2.4
200807,81.7,-1.3
200808,80.8,-1.9
200809,73.3,-3.1
200810,65.4,-1.4
200811,56.8,0.6
200812,48.2,-0.1
200901,47.9,0.6
200902,55.5,4.3
200903,59.5,1.1
200904,64.8,-0.6
200905,73.6,0.1
200906,81.7,1.2
200907,84.1,1.1
200908,83.3,0.6
200909,74.1,-2.3
200910,64.2,-2.6
200911,57.3,1.1
200912,43.1,-5.2
201001,44.4,-2.9
201002,44.0,-7.2
201003,54.8,-3.6
201004,65.0,-0.4
201005,73.8,0.3
201006,82.7,2.2
201007,81.4,-1.6
201008,84.4,1.7
201009,77.7,1.3
201010,67.2,0.4
201011,56.6,0.4
201012,49.2,0.9
201101,45.0,-2.3
201102,48.7,-2.5
201103,61.8,3.4
201104,70.3,4.9
201105,74.1,0.6
201106,85.2,4.7
201107,87.0,4.0
201108,88.2,5.5
201109,77.9,1.5
201110,66.9,0.1
201111,56.9,0.7
201112,46.1,-2.2
201201,50.4,3.1
201202,51.8,0.6
201203,63.2,4.8
201204,70.2,4.8
201205,75.5,2.0
201206,82.4,1.9
201207,83.4,0.4
201208,83.7,1.0
201209,76.6,0.2
201210,65.9,-0.9
201211,59.0,2.8
201212,51.1,2.8
201301,47.9,0.6
201302,51.7,0.5
201303,57.2,-1.2
201304,63.0,-2.4
201305,72.5,-1.0
201306,81.8,1.3
201307,81.3,-1.7
201308,83.3,0.6
201309,78.2,1.8
201310,66.7,-0.1
201311,52.9,-3.3
201312,44.8,-3.5
201401,44.5,-2.8
201402,48.4,-2.8
201403,54.8,-3.6
201404,65.4,0.0
201405,72.0,-1.5
201406,80.6,0.1
201407,81.7,-1.3
201408,82.6,-0.1
201409,76.4,0.0
201410,69.6,2.8
201411,51.5,-4.7
201412,50.7,2.4
201501,44.0,-3.3
201502,48.2,-3.0
201503,56.2,-2.2
201504,66.6,1.2
201505,71.6,-1.9
201506,79.3,-1.2
201507,83.2,0.2
201508,83.3,0.6
201509,79.2,2.8
201510,69.2,2.4
201511,57.3,1.1
201512,51.5,3.2
201601,46.4,-0.9
201602,54.4,3.2
201603,61.2,2.8
201604,66.1,0.7
201605,71.6,-1.9
201606,80.1,-0.4
201607,85.4,2.4
201608,81.5,-1.2
201609,77.6,1.2
201610,70.9,4.1
201611,61.0,4.8
201612,49.6,1.3
201701,50.8,3.5
201702,58.4,7.2
201703,63.6,5.2
201704,67.1,1.7
201705,72.0,-1.5
201706,80.6,0.1
201707,83.6,0.6
201708,80.6,-2.1
201709,76.5,0.1
201710,66.5,-0.3
201711,60.3,4.1
201712,47.8,-0.5
201801,43.8,-3.5
201802,52.3,1.1
201803,61.7,3.3
201804,63.0,-2.4
201805,78.0,4.5
201806,83.9,3.4
201807,84.5,1.5
201808,83.0,0.3
201809,76.2,-0.2
201810,65.4,-1.4
201811,51.9,-4.3
201812,48.3,0.0
201901,47.2,-0.1
201902,51.9,0.7
201903,55.7,-2.7
201904,65.0,-0.4
201905,72.5,-1.0
201906,79.1,-1.4
201907,82.8,-0.2
201908,85.9,3.2
201909,81.5,5.1
201910,65.2,-1.6
201911,53.2,-3.0
201912,50.7,2.4
202001,50.7,3.4
202002,49.4,-1.8
202003,63.2,4.8
202004,65.1,-0.3
202005,74.6,1.1
202006,80.7,0.2
202007,85.2,2.2
202008,84.4,1.7
202009,74.1,-2.3
202010,65.9,-0.9
202011,60.6,4.4
202012,48.5,0.2
